"","iter","swarm","algorithm","loglikelihood"
"25.3",100,100,"DE",-2911.33436649571
"25.4",100,100,"DE",-2970.69509466359
"25.5",100,100,"DE",-2911.15909939186
"25.6",100,100,"DE",-2914.3070544803
"25.7",100,100,"DE",-3016.89103321218
"25.8",100,100,"DE",-2850.38549438934
"25.9",100,100,"DE",-2850.55503113947
"26",250,100,"DE",-2769.02397397851
"26.1",250,100,"DE",-2771.44644456322
"26.2",250,100,"DE",-2771.58123698206
"26.3",250,100,"DE",-2780.29380707203
"26.4",250,100,"DE",-2807.21359919737
"26.5",250,100,"DE",-2788.32490337878
"26.6",250,100,"DE",-2836.90267548995
"26.7",250,100,"DE",-2761.51427265164
"26.8",250,100,"DE",-2766.82617215505
"26.9",250,100,"DE",-2782.99692730856
"27",500,100,"DE",-2757.00892030836
"27.1",500,100,"DE",-2755.50913252923
"27.2",500,100,"DE",-2755.84095009323
"27.3",500,100,"DE",-2757.06888712711
"27.4",500,100,"DE",-2759.9832491696
"27.5",500,100,"DE",-2758.03350675256
"27.6",500,100,"DE",-2756.03319793398
"27.7",500,100,"DE",-2755.53560101864
"27.8",500,100,"DE",-2759.41749933085
"27.9",500,100,"DE",-2763.97084332095
"28",750,100,"DE",-2755.08122005422
"28.1",750,100,"DE",-2755.53366901742
"28.2",750,100,"DE",-2755.3882301366
"28.3",750,100,"DE",-2755.31103885538
"28.4",750,100,"DE",-2754.99458422394
"28.5",750,100,"DE",-2756.30435332134
"28.6",750,100,"DE",-2754.91984309277
"28.7",750,100,"DE",-2755.04309289115
"28.8",750,100,"DE",-2755.26299179392
"28.9",750,100,"DE",-2755.0189290906
"29",1000,100,"DE",-2755.12542075326
"29.1",1000,100,"DE",-2754.9700569713
"29.2",1000,100,"DE",-2755.25763896126
"29.3",1000,100,"DE",-2754.91068116695
"29.4",1000,100,"DE",-2756.00217760741
"29.5",1000,100,"DE",-2754.97363426913
"29.6",1000,100,"DE",-2755.33963435466
"29.7",1000,100,"DE",-2754.90106179741
"29.8",1000,100,"DE",-2756.5282260557
"29.9",1000,100,"DE",-2758.46720632162
"30",2000,100,"DE",-2754.86113435935
"30.1",2000,100,"DE",-2754.83780034621
"30.2",2000,100,"DE",-2754.82177405023
"30.3",2000,100,"DE",-2754.82772952677
"30.4",2000,100,"DE",-2754.85645349505
"30.5",2000,100,"DE",-2754.83330957246
"30.6",2000,100,"DE",-2755.84926099917
"30.7",2000,100,"DE",-2754.82163113066
"30.8",2000,100,"DE",-2754.84446287788
"30.9",2000,100,"DE",-2754.89361703681
"31",100,200,"DE",-2969.00059780028
"31.1",100,200,"DE",-2893.86910589973
"31.2",100,200,"DE",-2922.87981455718
"31.3",100,200,"DE",-2873.46969586866
"31.4",100,200,"DE",-2958.30357299106
"31.5",100,200,"DE",-2943.80672207883
"31.6",100,200,"DE",-2857.93255862563
"31.7",100,200,"DE",-2941.42289084424
"31.8",100,200,"DE",-2893.34380741476
"31.9",100,200,"DE",-2902.30739256402
"32",250,200,"DE",-2781.19778799982
"32.1",250,200,"DE",-2766.19114984641
"32.2",250,200,"DE",-2783.95817333848
"32.3",250,200,"DE",-2768.27492949414
"32.4",250,200,"DE",-2779.70899271964
"32.5",250,200,"DE",-2798.51103622576
"32.6",250,200,"DE",-2801.72345546688
"32.7",250,200,"DE",-2790.54171192288
"32.8",250,200,"DE",-2776.57085705333
"32.9",250,200,"DE",-2766.37922995842
"33",500,200,"DE",-2757.04373245365
"33.1",500,200,"DE",-2762.15368552939
"33.2",500,200,"DE",-2759.28078538392
"33.3",500,200,"DE",-2756.97960374101
"33.4",500,200,"DE",-2758.04150624558
"33.5",500,200,"DE",-2756.56441657919
"33.6",500,200,"DE",-2757.31165018513
"33.7",500,200,"DE",-2756.79519371615
"33.8",500,200,"DE",-2759.3099798782
"33.9",500,200,"DE",-2757.9970838357
"34",750,200,"DE",-2755.71719029158
"34.1",750,200,"DE",-2755.06230942862
"34.2",750,200,"DE",-2755.22414156415
"34.3",750,200,"DE",-2755.3343746129
