"","iter","swarm","algorithm","loglikelihood"
"44.8",250,20,"GWO",-504.082593427451
"44.9",250,20,"GWO",-507.263516370846
"45",500,20,"GWO",-504.06970450195
"45.1",500,20,"GWO",-504.745329678618
"45.2",500,20,"GWO",-504.493727547807
"45.3",500,20,"GWO",-504.191106070733
"45.4",500,20,"GWO",-504.30228570311
"45.5",500,20,"GWO",-504.695901705061
"45.6",500,20,"GWO",-504.053538693447
"45.7",500,20,"GWO",-504.695580207866
"45.8",500,20,"GWO",-504.688393522335
"45.9",500,20,"GWO",-504.085566949435
"46",750,20,"GWO",-504.055560221916
"46.1",750,20,"GWO",-504.07764373263
"46.2",750,20,"GWO",-504.552553814164
"46.3",750,20,"GWO",-504.742079723433
"46.4",750,20,"GWO",-504.552502807679
"46.5",750,20,"GWO",-504.069337708653
"46.6",750,20,"GWO",-504.301129936331
"46.7",750,20,"GWO",-504.302307505282
"46.8",750,20,"GWO",-504.267636494397
"46.9",750,20,"GWO",-504.067724672792
"47",1000,20,"GWO",-504.054175509253
"47.1",1000,20,"GWO",-504.92209848657
"47.2",1000,20,"GWO",-504.649811171598
"47.3",1000,20,"GWO",-504.680673938599
"47.4",1000,20,"GWO",-504.201191800742
"47.5",1000,20,"GWO",-504.037613478511
"47.6",1000,20,"GWO",-504.065715230463
"47.7",1000,20,"GWO",-504.06788162877
"47.8",1000,20,"GWO",-504.076131806673
"47.9",1000,20,"GWO",-504.67349890725
"48",2000,20,"GWO",-504.061510235427
"48.1",2000,20,"GWO",-504.201006280182
"48.2",2000,20,"GWO",-504.202276029614
"48.3",2000,20,"GWO",-504.057775479937
"48.4",2000,20,"GWO",-504.11640743129
"48.5",2000,20,"GWO",-504.302318465268
"48.6",2000,20,"GWO",-504.053716525538
"48.7",2000,20,"GWO",-506.640236292989
"48.8",2000,20,"GWO",-504.037423676479
"48.9",2000,20,"GWO",-504.550674122104
"49",100,50,"GWO",-504.058657158207
"49.1",100,50,"GWO",-504.200735875965
"49.2",100,50,"GWO",-504.090261530169
"49.3",100,50,"GWO",-504.68727913199
"49.4",100,50,"GWO",-504.129522732457
"49.5",100,50,"GWO",-504.075996504753
"49.6",100,50,"GWO",-504.10828642528
"49.7",100,50,"GWO",-504.067394188457
"49.8",100,50,"GWO",-504.061804586497
"49.9",100,50,"GWO",-504.071143310596
"50",250,50,"GWO",-504.061439984793
"50.1",250,50,"GWO",-504.68950756507
"50.2",250,50,"GWO",-504.085305825667
"50.3",250,50,"GWO",-504.493336831077
"50.4",250,50,"GWO",-504.202104053061
"50.5",250,50,"GWO",-504.066438898987
"50.6",250,50,"GWO",-504.047112575087
"50.7",250,50,"GWO",-504.066904576603
"50.8",250,50,"GWO",-504.663908066854
"50.9",250,50,"GWO",-504.303034155702
"51",500,50,"GWO",-504.055983508523
"51.1",500,50,"GWO",-504.059096674989
"51.2",500,50,"GWO",-504.55253760311
"51.3",500,50,"GWO",-504.202294178736
"51.4",500,50,"GWO",-504.054749402997
