"","iter","swarm","algorithm","loglikelihood"
"47",1000,20,"GWO",-16788.8903757981
"47.1",1000,20,"GWO",-16807.5080245246
"47.2",1000,20,"GWO",-16762.5170553222
"47.3",1000,20,"GWO",-17282.9221824642
"47.4",1000,20,"GWO",-17285.6141897012
"47.5",1000,20,"GWO",-17890.8306652417
"47.6",1000,20,"GWO",-17914.437330272
"47.7",1000,20,"GWO",-16879.9772845011
"47.8",1000,20,"GWO",-16888.1981017808
"47.9",1000,20,"GWO",-16899.387357389
"48",2000,20,"GWO",-17691.0444160014
"48.1",2000,20,"GWO",-16857.6643134495
"48.2",2000,20,"GWO",-17401.9122554939
"48.3",2000,20,"GWO",-17907.940438112
"48.4",2000,20,"GWO",-16751.7646451963
"48.5",2000,20,"GWO",-17258.2379034225
"48.6",2000,20,"GWO",-17434.9875218893
"48.7",2000,20,"GWO",-17194.0936846897
"48.8",2000,20,"GWO",-16934.5297915558
"48.9",2000,20,"GWO",-16770.225994899
"49",100,50,"GWO",-17344.9863825664
"49.1",100,50,"GWO",-16860.3642207808
"49.2",100,50,"GWO",-17083.5451473979
"49.3",100,50,"GWO",-16991.2508222043
"49.4",100,50,"GWO",-17107.3353683513
"49.5",100,50,"GWO",-17559.8996177471
"49.6",100,50,"GWO",-17233.8386914258
"49.7",100,50,"GWO",-17313.0493361562
"49.8",100,50,"GWO",-18552.6160435841
"49.9",100,50,"GWO",-16914.5433817912
"50",250,50,"GWO",-16769.5932656376
"50.1",250,50,"GWO",-17115.7239865457
"50.2",250,50,"GWO",-16871.7609025283
"50.3",250,50,"GWO",-17296.4017469325
"50.4",250,50,"GWO",-16985.7535021897
"50.5",250,50,"GWO",-16828.0653849328
"50.6",250,50,"GWO",-16810.4268249898
"50.7",250,50,"GWO",-16850.0653677227
"50.8",250,50,"GWO",-16867.3110536319
"50.9",250,50,"GWO",-17144.5398355602
"51",500,50,"GWO",-17688.1528950195
"51.1",500,50,"GWO",-16935.2334435326
"51.2",500,50,"GWO",-17906.0023288817
"51.3",500,50,"GWO",-17022.9642693878
"51.4",500,50,"GWO",-16807.0677022504
"51.5",500,50,"GWO",-16945.7666115388
"51.6",500,50,"GWO",-17454.7410925644
"51.7",500,50,"GWO",-16756.9981200876
"51.8",500,50,"GWO",-17361.278364892
"51.9",500,50,"GWO",-17003.329627423
"52",750,50,"GWO",-16881.5499075588
"52.1",750,50,"GWO",-16830.7165689102
"52.2",750,50,"GWO",-16820.1984952044
"52.3",750,50,"GWO",-17237.8742155797
"52.4",750,50,"GWO",-16828.4043478785
"52.5",750,50,"GWO",-17417.1279745209
"52.6",750,50,"GWO",-16859.1998404789
"52.7",750,50,"GWO",-16863.9905837412
"52.8",750,50,"GWO",-17308.4951191391
"52.9",750,50,"GWO",-17265.1981043923
"53",1000,50,"GWO",-17475.1755440491
"53.1",1000,50,"GWO",-17000.8738066469
"53.2",1000,50,"GWO",-16856.4767930371
"53.3",1000,50,"GWO",-16788.3979537816
"53.4",1000,50,"GWO",-17171.8838258265
"53.5",1000,50,"GWO",-17014.9814943641
"53.6",1000,50,"GWO",-17090.5492853434
"53.7",1000,50,"GWO",-16826.1299333052
"53.8",1000,50,"GWO",-18105.0232812844
"53.9",1000,50,"GWO",-16943.4366676447
"54",2000,50,"GWO",-17008.7004930563
"54.1",2000,50,"GWO",-17044.4945635248
"54.2",2000,50,"GWO",-17605.6356453629
"54.3",2000,50,"GWO",-17138.0771415605
"54.4",2000,50,"GWO",-17380.936871331
"54.5",2000,50,"GWO",-16896.7735084017
"54.6",2000,50,"GWO",-16931.2242143054
"54.7",2000,50,"GWO",-17518.4428184174
"54.8",2000,50,"GWO",-17668.1910371488
"54.9",2000,50,"GWO",-17605.7551451751
"55",100,75,"GWO",-16907.449313518
"55.1",100,75,"GWO",-16887.4117465544
"55.2",100,75,"GWO",-16874.4542699836
"55.3",100,75,"GWO",-17530.7358820233
"55.4",100,75,"GWO",-16814.1956629449
"55.5",100,75,"GWO",-16791.6025548705
"55.6",100,75,"GWO",-16784.9370193206
"55.7",100,75,"GWO",-16782.1983591993
"55.8",100,75,"GWO",-17109.0075978779
"55.9",100,75,"GWO",-17909.5243149332
"56",250,75,"GWO",-16881.8789975711
"56.1",250,75,"GWO",-16998.7654513305
"56.2",250,75,"GWO",-17301.18125585
"56.3",250,75,"GWO",-17454.3979281462
"56.4",250,75,"GWO",-16947.8405776404
"56.5",250,75,"GWO",-16795.7835486614
"56.6",250,75,"GWO",-17173.0039653004
"56.7",250,75,"GWO",-18165.9634072916
"56.8",250,75,"GWO",-17082.123469062
"56.9",250,75,"GWO",-17702.9237017265
"57",500,75,"GWO",-17314.8250147308
"57.1",500,75,"GWO",-17460.4025011934
"57.2",500,75,"GWO",-16841.1303790027
"57.3",500,75,"GWO",-16960.2391797509
"57.4",500,75,"GWO",-17945.7317462602
"57.5",500,75,"GWO",-17120.8434567078
"57.6",500,75,"GWO",-16770.1888630625
"57.7",500,75,"GWO",-16947.0553628764
"57.8",500,75,"GWO",-16965.1942888468
"57.9",500,75,"GWO",-16910.5715571702
"58",750,75,"GWO",-17040.2940079825
"58.1",750,75,"GWO",-17874.6907313871
"58.2",750,75,"GWO",-16926.3989735868
"58.3",750,75,"GWO",-17167.0454870723
"58.4",750,75,"GWO",-17109.8225621181
"58.5",750,75,"GWO",-17036.2794865607
"58.6",750,75,"GWO",-17141.686585336
"58.7",750,75,"GWO",-16786.6483566686
"58.8",750,75,"GWO",-17028.7060044238
"58.9",750,75,"GWO",-17041.0534705363
"59",1000,75,"GWO",-17089.2108513131
"59.1",1000,75,"GWO",-16769.23413396
"59.2",1000,75,"GWO",-16863.2533575084
"59.3",1000,75,"GWO",-18189.238272833
"59.4",1000,75,"GWO",-17872.406020651
"59.5",1000,75,"GWO",-16966.4644543971
"59.6",1000,75,"GWO",-16890.5771370337
"59.7",1000,75,"GWO",-16817.3973957293
"59.8",1000,75,"GWO",-16965.7794055387
"59.9",1000,75,"GWO",-16773.996171091
"60",2000,75,"GWO",-16983.1472173205
"60.1",2000,75,"GWO",-16742.4238880922
"60.2",2000,75,"GWO",-16935.2615795534
"60.3",2000,75,"GWO",-17040.6203590161
"60.4",2000,75,"GWO",-16786.5093549712
"60.5",2000,75,"GWO",-17662.8951342503
"60.6",2000,75,"GWO",-17073.7074474289
"60.7",2000,75,"GWO",-17082.2682586291
"60.8",2000,75,"GWO",-17396.9996095463
"60.9",2000,75,"GWO",-16971.7372297453
"61",100,100,"GWO",-16762.4614717793
"61.1",100,100,"GWO",-17027.218726773
"61.2",100,100,"GWO",-16765.8032928341
"61.3",100,100,"GWO",-16855.7721821118
"61.4",100,100,"GWO",-16758.510340515
"61.5",100,100,"GWO",-17299.990630196
"61.6",100,100,"GWO",-17105.2915099591
"61.7",100,100,"GWO",-16782.7873429144
"61.8",100,100,"GWO",-16842.0993492061
"61.9",100,100,"GWO",-16799.5962814899
